norm_name,verdict,division,season,clubs
aadit bhatia,auto-merged,club,2025,roundhouse; u54
aahil keshwani,auto-merged,college,2023,california-san diego-b (air squids lite ); california-san diego-c (air squids select)
aakar mehra,auto-merged,club-mixed,2021,birds of paradise; donut
aakash davasam,auto-merged,college,2023,california-san diego-b (air squids lite ); california-san diego-c (air squids select)
aaron barcio,auto-merged,club,2017,swangos; texas swing
aaron barcio,auto-merged,club,2021,clutch; joe sefton's little heroes
aaron bartlett,auto-merged,club,2019,foggy bottom boys; watchdogs
aaron bartlett,auto-merged,club,2021,nain rouge; truck stop
aaron coleman,auto-merged,club,2022,low point; powderhogs
aaron duda,auto-merged,college,2020,oregon state (beavers); oregon state-b (oregon state b)
aaron ginsburg,auto-merged,college,2026,dayton (flud); dayton-b (ud flud b)
aaron leitschuh,auto-merged,club,2022,raptor; reptar
aaron leitschuh,auto-merged,club,2023,bloomin' reptars; raptor
aaron li,split,college,2026,california-davis (davis dogs); toronto (tula)
aaron liu,split,college,2020,georgia tech-b (tribe); virginia-b (virginia-b)
aaron liu,split,college,2022,boise state (mamu zaldi); georgia tech-b (tribe); virginia-b (night train b)
aaron liu,split,college,2023,boise state (mamu zaldi); virginia-b (night train b)
aaron lucas,auto-merged,college,2018,messiah (falcons); messiah college-b (falcons)
aaron maymin,auto-merged,club,2019,festive salmon; overcast
aaron maymin,auto-merged,club,2021,bartle boys; sawtooth
aaron miller,auto-merged,club,2026,bodega cats; long island riff raff
aaron monahan,auto-merged,club,2022,fungi; spicey-freshman
aaron moredock,auto-merged,club,2018,duel; johnny walker
aaron reynolds,auto-merged,club,2019,hail mary; richmond floodwall
aaron richards,auto-merged,club,2023,jen city executives; kalakala wiffleball club
aaron rosenthal,auto-merged,club,2022,redwolves; truck stop
aaron schlossberg,auto-merged,club-mixed,2018,default; whuf*
aaron shelton,auto-merged,college,2026,cal poly-slo-b (slob); cal poly-slo-c (sloc)
aaron smith,split,college,2023,messiah (falcons); oklahoma christian (eagles)
aaron smith,split,college-d3,2023,messiah (falcons); oklahoma christian (eagles)
aaron wei,auto-merged,club,2024,cash crop 2; raleigh-durham united
aaron wida,auto-merged,club,2021,fungi; icy boyz
aaron wida,auto-merged,club,2022,fungi; icey boyz
aaron wynmor,auto-merged,club,2017,cash crop; triforce
aaron zilinskas,auto-merged,college,2019,illinois state (gnomes); illinois state-b (gnomes b)
aarush panda,auto-merged,club,2025,east bay earthworms; pittsburgh stealers
aayush gupta,auto-merged,college,2019,arizona state-b (pleasure); arizona state-c (pleasure ultimate)
